countyFIPS,county,stateFIPS,state,TOT_POP,TOT_HH,PCT_CHLDN,PCT_YOUTH,PCT_AD,PCT_SR,PCT_WHT,PCT_NWHT,MED_HH_INC,PCT_BLW_POV_RT,PCT_AGRI,PCT_CONST,PCT_MFG,PCT_WHLS_TRA,PCT_RET_TRA,PCT_TRANS,PCT_INFO,PCT_FIN,PCT_PRO,PCT_EDU,PCT_REC,PCT_OTHERS,PCT_PUB_ADMIN
72041,CidraMunicipio,72,PR,40343,null,16.8,13.9,53.1,16,84.7,15.3,19949,39.7,0.9,4.4,15.2,1.6,15.6,4.7,2.3,3.3,8.5,23,8.7,3.6,8.3
72043,CoamoMunicipio,72,PR,39265,null,17.3,12.5,53.6,16.5,66.9,33.1,19833,41.8,7.4,4.1,17.8,0.7,11,2,0.9,4.1,8.2,20.1,6,4.8,12.8
72045,Comer�oMunicipio,72,PR,19539,null,17.2,14.1,52,16.7,82.6,17.4,12812,57.6,2.2,6.9,7.4,2.2,17.2,5.7,0.8,2.2,9.7,29.1,4.8,4.1,7.7
72047,CorozalMunicipio,72,PR,34165,null,17.8,14.2,51.4,16.7,83.2,16.8,15088,53.1,2.4,6.6,10.7,3.7,13.6,3.2,1.2,3,10.5,25.5,8.9,4.4,6.4
72049,CulebraMunicipio,72,PR,1314,null,17.2,8.6,52.4,21.8,55.2,44.8,23802,37.1,0,10.4,0,0,2,8.7,0,7.3,8,21.4,20.6,5.3,16.3
72051,DoradoMunicipio,72,PR,37208,null,18.2,13.6,51.9,16.2,84.6,15.4,29667,29.1,0.5,5.3,10.2,4.5,11.4,5,1.2,6.1,14.5,19.5,8.6,4.4,8.8
72053,FajardoMunicipio,72,PR,32001,null,16.8,14.2,48.1,20.8,58.9,41.1,19068,41.1,1.1,5.4,6.9,1.2,11.6,4.1,1.5,2.5,8.1,21.2,22,6.8,7.6
72054,FLMunicipio,72,PR,11910,null,17.3,14.6,51.1,16.9,88.2,11.8,20315,47.3,1.1,2.7,14.3,4,19.1,8.5,0,7,5.6,16.7,3.8,6.2,11
72055,Gu�nicaMunicipio,72,PR,16783,null,17,13.1,47.6,22.2,63.3,36.7,13242,60,1.5,2.1,9.5,1.2,16.8,3.6,1.2,1,4.4,30.2,9.8,4.5,14.2
72057,GuayamaMunicipio,72,PR,41706,null,17,14.9,51.5,16.7,73.4,26.6,16374,48.7,2.6,5,13,1.8,11.8,3.8,1,1.1,7.6,27,8.1,3.2,14
72059,GuayanillaMunicipio,72,PR,19008,null,17.5,13.5,49.8,19.2,78.1,21.9,16922,50.9,2.4,5.5,9.5,1.8,9.1,8,1.3,1.9,7.3,31.4,3.6,5.9,12.3
72061,GuaynaboMunicipio,72,PR,88663,null,14,12.6,52.8,20.6,83.3,16.7,33937,23.9,0.3,4.2,4.2,4.4,10.6,3.2,2.7,10.6,16.3,22.6,7.4,5.8,7.6
