Confirmed,Date,Deaths,Last Update,Recovered,Region,_id,State_Name
3,1/26/2020,0,1/26/2020 23:00,0,South Korea,5e878e8c4d6afbef43dab886,South Korea
2,1/26/2020,0,2020-01-26 23:00:00 * CTY: LA 1; Orange 1,0,USA,5e878e8c4d6afbef43dab887,California
2,1/26/2020,0,1/26/2020 23:00,0,Vietnam,5e878e8c4d6afbef43dab888,Vietnam
1,1/26/2020,0,1/26/2020 23:00,0,USA,5e878e8c4d6afbef43dab889,Arizona
1,1/26/2020,0,1/26/2020 23:00,0,Canada,5e878e8c4d6afbef43dab88a,Canada
1,1/26/2020,0,1/26/2020 23:00,0,USA,5e878e8c4d6afbef43dab88b,Illinois
1,1/26/2020,0,1/26/2020 23:00,0,Nepal,5e878e8c4d6afbef43dab88c,Nepal
1,1/26/2020,0,1/26/2020 23:00,0,USA,5e878e8c4d6afbef43dab88d,Washington
2714,1/27/2020,100,1/27/2020 20:30,47,Mainland China,5e878e8c4d6afbef43dab88e,Hubei
173,1/27/2020,0,1/27/2020 20:30,1,Mainland China,5e878e8c4d6afbef43dab88f,Zhejiang
168,1/27/2020,1,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab890,Henan
151,1/27/2020,0,1/27/2020 20:30,4,Mainland China,5e878e8c4d6afbef43dab891,Guangdong
132,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab892,Chongqing
106,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab893,Anhui
100,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab894,Hunan
90,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab895,Sichuan
87,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab896,Shandong
80,1/27/2020,1,1/27/2020 20:30,2,Mainland China,5e878e8c4d6afbef43dab897,Beijing
72,1/27/2020,0,1/27/2020 20:30,2,Mainland China,5e878e8c4d6afbef43dab898,Jiangxi
70,1/27/2020,0,1/27/2020 20:30,1,Mainland China,5e878e8c4d6afbef43dab899,Jiangsu
66,1/27/2020,1,1/27/2020 20:30,3,Mainland China,5e878e8c4d6afbef43dab89a,Shanghai
59,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab89b,Fujian
51,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab89c,Guangxi
35,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab89d,Shaanxi
33,1/27/2020,1,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab89e,Hainan
33,1/27/2020,1,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab89f,Hebei
30,1/27/2020,1,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab8a0,Heilongjiang
27,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab8a1,Liaoning
26,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab8a2,Yunnan
23,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab8a3,Tianjin
20,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab8a4,Shanxi
19,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab8a5,Gansu
11,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab8a6,Nei Mongol
9,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab8a7,Guizhou
8,1/27/2020,0,1/27/2020 20:30,0,Hong Kong,5e878e8c4d6afbef43dab8a8,Hong Kong
8,1/27/2020,0,1/27/2020 20:30,2,Thailand,5e878e8c4d6afbef43dab8a9,Thailand
7,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab8aa,Ningxia
6,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab8ab,Jilin
6,1/27/2020,0,1/27/2020 20:30,0,Macau,5e878e8c4d6afbef43dab8ac,Macau
6,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab8ad,Qinghai
5,1/27/2020,0,1/27/2020 20:30,0,Australia,5e878e8c4d6afbef43dab8ae,Australia
5,1/27/2020,0,1/27/2020 20:30,0,Singapore,5e878e8c4d6afbef43dab8af,Singapore
5,1/27/2020,0,1/27/2020 20:30,0,Taiwan,5e878e8c4d6afbef43dab8b0,Taiwan
5,1/27/2020,0,1/27/2020 20:30,0,Mainland China,5e878e8c4d6afbef43dab8b1,Xinjiang Uygur
4,1/27/2020,0,1/27/2020 20:30,1,Japan,5e878e8c4d6afbef43dab8b2,Japan
4,1/27/2020,0,1/27/2020 20:30,0,Malaysia,5e878e8c4d6afbef43dab8b3,Malaysia
4,1/27/2020,0,1/27/2020 20:30,0,South Korea,5e878e8c4d6afbef43dab8b4,South Korea
3,1/27/2020,0,1/27/2020 20:30,0,France,5e878e8c4d6afbef43dab8b5,France
2,1/27/2020,0,2020-01-27 20:30:00 * CTY: LA 1; Orange 1,0,USA,5e878e8c4d6afbef43dab8b6,California
2,1/27/2020,0,1/27/2020 20:30,0,Vietnam,5e878e8c4d6afbef43dab8b7,Vietnam
1,1/27/2020,0,1/27/2020 20:30,0,USA,5e878e8c4d6afbef43dab8b8,Arizona
1,1/27/2020,0,1/27/2020 20:30,0,Cambodia,5e878e8c4d6afbef43dab8b9,Cambodia
1,1/27/2020,0,1/27/2020 20:30,0,Canada,5e878e8c4d6afbef43dab8ba,Canada
1,1/27/2020,0,1/27/2020 20:30,0,Germany,5e878e8c4d6afbef43dab8bb,Germany
1,1/27/2020,0,1/27/2020 20:30,0,USA,5e878e8c4d6afbef43dab8bc,Illinois
1,1/27/2020,0,1/27/2020 20:30,0,Nepal,5e878e8c4d6afbef43dab8bd,Nepal
1,1/27/2020,0,1/27/2020 20:30,0,Sri Lanka,5e878e8c4d6afbef43dab8be,Sri Lanka
1,1/27/2020,0,1/27/2020 20:30,0,USA,5e878e8c4d6afbef43dab8bf,Washington
3554,1/28/2020,125,1/28/2020 23:00,80,Mainland China,5e878e8c4d6afbef43dab8c0,Hubei
296,1/28/2020,0,1/28/2020 23:00,3,Mainland China,5e878e8c4d6afbef43dab8c1,Zhejiang
241,1/28/2020,0,1/28/2020 23:00,5,Mainland China,5e878e8c4d6afbef43dab8c2,Guangdong
221,1/28/2020,0,1/28/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab8c3,Hunan
206,1/28/2020,2,1/28/2020 23:00,1,Mainland China,5e878e8c4d6afbef43dab8c4,Henan
152,1/28/2020,0,1/28/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab8c5,Anhui
147,1/28/2020,0,1/28/2020 23:00,1,Mainland China,5e878e8c4d6afbef43dab8c6,Chongqing
121,1/28/2020,0,1/28/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab8c7,Shandong
109,1/28/2020,0,1/28/2020 23:00,3,Mainland China,5e878e8c4d6afbef43dab8c8,Jiangxi
108,1/28/2020,0,1/28/2020 23:00,0,Mainland China,5e878e8c4d6afbef43dab8c9,Sichuan
99,1/28/2020,0,1/28/2020 23:00,1,Mainland China,5e878e8c4d6afbef43dab8ca,Jiangsu
91,1/28/2020,1,1/28/2020 23:00,4,Mainland China,5e878e8c4d6afbef43dab8cb,Beijing
